# JWST blank sky Saha et al.
# https://arxiv.org/pdf/2503.14582
# mass [eV]     photon coupling [GeV^-1]
# Limits from https://arxiv.org/abs/2503.14582
# mass [eV]	photon coupling [GeV^-1]
4.738041e-01	4.628601e-11
4.738076e-01	5.896891e-11
4.738126e-01	4.815788e-11
4.738185e-01	5.626280e-11
4.738246e-01	4.770273e-11
4.738552e-01	5.511711e-11
4.738624e-01	4.993470e-11
4.738638e-01	5.292420e-11
4.738639e-01	4.720678e-11
4.738643e-01	4.482044e-11
4.738728e-01	4.693689e-11
4.738741e-01	5.821880e-11
4.738787e-01	5.305918e-11
4.738848e-01	4.872316e-11
4.739155e-01	5.418449e-11
4.739155e-01	5.754030e-11
4.739226e-01	4.958890e-11
4.739240e-01	5.165960e-11
4.739241e-01	4.809381e-11
4.739245e-01	4.343129e-11
4.739297e-01	5.954151e-11
4.739330e-01	4.620460e-11
4.739388e-01	5.049136e-11
4.739451e-01	5.008107e-11
4.739757e-01	5.453592e-11
4.739757e-01	5.306739e-11
4.739828e-01	4.916289e-11
4.739842e-01	5.073542e-11
4.739843e-01	4.955627e-11
4.739847e-01	4.216952e-11
4.739899e-01	5.909824e-11
4.739932e-01	4.598471e-11
4.739990e-01	4.844307e-11
4.739992e-01	5.837175e-11
4.740053e-01	5.180783e-11
4.740359e-01	5.234228e-11
4.740359e-01	5.180742e-11
4.740363e-01	5.953102e-11
4.740430e-01	4.866423e-11
4.740444e-01	5.012502e-11
4.740445e-01	5.179320e-11
4.740449e-01	4.108014e-11
4.740501e-01	5.940509e-11
4.740535e-01	4.629362e-11
4.740592e-01	4.683035e-11
4.740594e-01	5.409762e-11
4.740656e-01	5.387302e-11
4.740962e-01	5.070640e-11
4.740962e-01	5.047551e-11
4.741032e-01	4.811488e-11
4.741046e-01	4.976623e-11
4.741047e-01	5.510386e-11
4.741051e-01	4.015886e-11
4.741137e-01	4.714156e-11
4.741194e-01	4.559306e-11
4.741196e-01	5.071574e-11
4.741229e-01	5.777162e-11
4.741258e-01	5.629871e-11
4.741564e-01	4.941965e-11
4.741565e-01	4.915184e-11
4.741635e-01	4.755519e-11
4.741649e-01	4.959505e-11
4.741650e-01	5.989593e-11
4.741654e-01	3.948096e-11
4.741740e-01	4.852773e-11
4.741796e-01	4.469049e-11
4.741798e-01	4.811666e-11
4.741831e-01	5.393202e-11
4.741861e-01	5.908310e-11
4.742167e-01	4.833445e-11
4.742168e-01	4.788764e-11
4.742238e-01	4.701729e-11
4.742251e-01	4.950446e-11
4.742256e-01	3.899119e-11
4.742287e-01	5.837201e-11
4.742343e-01	5.042782e-11
4.742399e-01	4.407941e-11
4.742401e-01	4.619650e-11
4.742434e-01	5.092107e-11
4.742770e-01	4.734477e-11
4.742771e-01	4.678032e-11
4.742840e-01	4.652977e-11
4.742854e-01	4.938780e-11
4.742859e-01	3.864826e-11
4.742877e-01	5.876129e-11
4.742890e-01	5.632589e-11
4.742945e-01	5.277368e-11
4.743001e-01	4.367120e-11
4.743003e-01	4.486038e-11
4.743037e-01	4.857507e-11
4.743373e-01	4.634963e-11
4.743374e-01	4.583873e-11
4.743443e-01	4.606854e-11
4.743457e-01	4.911551e-11
4.743462e-01	3.838903e-11
4.743480e-01	5.744699e-11
4.743493e-01	5.442046e-11
4.743549e-01	5.542882e-11
4.743604e-01	4.351401e-11
4.743606e-01	4.403526e-11
4.743640e-01	4.678358e-11
4.743976e-01	5.835385e-11
4.743977e-01	4.530718e-11
4.743977e-01	4.507753e-11
4.744047e-01	4.572752e-11
4.744060e-01	4.856396e-11
4.744065e-01	3.813420e-11
4.744083e-01	5.607952e-11
4.744096e-01	5.271592e-11
4.744152e-01	5.817277e-11
4.744207e-01	4.349856e-11
4.744209e-01	4.358996e-11
4.744244e-01	4.545924e-11
4.744579e-01	5.646591e-11
4.744580e-01	4.421744e-11
4.744581e-01	4.449817e-11
4.744650e-01	4.545869e-11
4.744663e-01	4.764473e-11
4.744668e-01	3.779969e-11
4.744687e-01	5.463107e-11
4.744700e-01	5.129651e-11
4.744810e-01	4.355573e-11
4.744812e-01	4.353857e-11
4.744847e-01	4.451073e-11
4.745183e-01	5.478676e-11
4.745184e-01	4.311360e-11
4.745185e-01	4.409364e-11
4.745231e-01	5.912383e-11
4.745253e-01	4.525705e-11
4.745267e-01	4.632578e-11
4.745272e-01	3.731427e-11
4.745290e-01	5.313277e-11
4.745304e-01	5.026767e-11
4.745327e-01	5.217289e-11
4.745413e-01	4.360923e-11
4.745415e-01	4.372755e-11
4.745451e-01	4.394329e-11
4.745687e-01	5.845752e-11
4.745745e-01	5.705261e-11
4.745787e-01	5.336064e-11
4.745788e-01	4.203831e-11
4.745788e-01	4.385185e-11
4.745857e-01	4.512104e-11
4.745870e-01	4.467085e-11
4.745875e-01	3.663920e-11
4.745894e-01	5.166484e-11
4.745907e-01	4.975554e-11
4.745914e-01	4.875838e-11
4.745931e-01	4.695647e-11
4.745934e-01	5.765727e-11
4.745935e-01	5.148703e-11
4.746016e-01	4.358440e-11
4.746019e-01	4.403253e-11
4.746055e-01	4.374393e-11
4.746192e-01	5.894536e-11
4.746291e-01	5.593642e-11
4.746391e-01	5.222672e-11
4.746391e-01	4.106521e-11
4.746392e-01	4.375713e-11
4.746461e-01	4.505954e-11
4.746474e-01	4.274937e-11
4.746479e-01	3.578150e-11
4.746498e-01	5.033281e-11
4.746511e-01	4.991422e-11
4.746518e-01	4.179392e-11
4.746535e-01	4.588734e-11
4.746538e-01	5.432670e-11
4.746539e-01	4.671598e-11
4.746620e-01	4.342122e-11
4.746621e-01	5.844541e-11
4.746622e-01	4.435566e-11
4.746659e-01	4.389928e-11
4.746739e-01	5.952398e-11
4.746749e-01	5.832708e-11
4.746796e-01	5.521579e-11
4.746857e-01	5.497149e-11
4.746895e-01	5.350444e-11
4.746995e-01	5.137774e-11
4.746996e-01	4.023000e-11
4.746997e-01	4.378972e-11
4.747065e-01	4.509781e-11
4.747078e-01	4.079245e-11
4.747083e-01	3.478238e-11
4.747103e-01	4.920155e-11
4.747116e-01	5.094758e-11
4.747122e-01	3.960354e-11
4.747139e-01	4.536558e-11
4.747142e-01	5.191356e-11
4.747143e-01	4.309598e-11
4.747224e-01	4.308827e-11
4.747224e-01	5.434466e-11
4.747226e-01	4.444014e-11
4.747263e-01	4.444761e-11
4.747264e-01	5.678093e-11
4.747343e-01	5.396335e-11
4.747353e-01	5.590741e-11
4.747370e-01	5.629541e-11
4.747399e-01	5.137232e-11
4.747499e-01	5.121556e-11
4.747599e-01	5.091486e-11
4.747600e-01	3.956231e-11
4.747601e-01	4.392397e-11
4.747669e-01	4.528094e-11
4.747682e-01	3.889836e-11
4.747687e-01	3.374844e-11
4.747707e-01	4.845017e-11
4.747720e-01	5.315643e-11
4.747726e-01	3.817140e-11
4.747743e-01	4.546203e-11
4.747746e-01	5.037170e-11
4.747747e-01	4.050263e-11
4.747827e-01	4.259221e-11
4.747828e-01	5.054227e-11
4.747828e-01	5.932809e-11
4.747829e-01	4.415353e-11
4.747867e-01	4.539889e-11
4.747868e-01	5.323438e-11
4.747939e-01	5.868913e-11
4.747947e-01	4.972396e-11
4.747957e-01	5.405017e-11
4.748003e-01	4.762555e-11
4.748103e-01	4.912166e-11
4.748203e-01	5.080405e-11
4.748204e-01	3.907331e-11
4.748205e-01	4.412620e-11
4.748273e-01	4.567474e-11
4.748286e-01	3.718750e-11
4.748291e-01	3.276264e-11
4.748311e-01	4.810121e-11
4.748324e-01	5.702592e-11
4.748331e-01	3.742929e-11
4.748348e-01	4.624481e-11
4.748351e-01	4.976733e-11
4.748352e-01	3.877904e-11
4.748431e-01	4.197867e-11
4.748432e-01	4.712113e-11
4.748432e-01	5.400687e-11
4.748433e-01	4.351573e-11
4.748471e-01	4.682319e-11
4.748472e-01	5.087138e-11
4.748483e-01	5.024027e-11
4.748544e-01	5.785490e-11
4.748551e-01	4.671345e-11
4.748562e-01	5.275851e-11
4.748607e-01	4.411806e-11
4.748707e-01	4.740973e-11
4.748808e-01	5.104041e-11
4.748809e-01	3.875603e-11
4.748810e-01	4.435382e-11
4.748877e-01	4.636457e-11
4.748890e-01	3.574622e-11
4.748895e-01	3.191426e-11
4.748916e-01	4.820440e-11
4.748935e-01	3.733853e-11
4.748952e-01	4.778840e-11
4.748956e-01	5.003224e-11
4.748956e-01	3.784333e-11
4.748996e-01	5.740815e-11
4.749035e-01	4.132391e-11
4.749036e-01	4.410113e-11
4.749037e-01	4.973446e-11
4.749038e-01	4.249011e-11
4.749076e-01	4.878533e-11
4.749077e-01	4.949756e-11
4.749148e-01	5.775203e-11
4.749156e-01	4.489404e-11
4.749166e-01	5.197202e-11
4.749211e-01	4.109565e-11
4.749311e-01	4.612406e-11
4.749412e-01	5.160069e-11
4.749413e-01	3.858706e-11
4.749415e-01	4.455743e-11
4.749482e-01	4.745375e-11
4.749495e-01	3.463022e-11
4.749496e-01	5.656513e-11
4.749500e-01	3.127919e-11
4.749521e-01	4.879484e-11
