# eROSITA early data release
# https://arxiv.org/pdf/2401.16747.pdf
# mass [eV]  photon coupling [GeV^-1]
1796.8671084172076	1.0
1796.8671084172076	3.6372034186871746e-18
1886.5082246596414	1.1361537342063664e-17
1967.8066067878908	3.7459395751042176e-18
1967.8066067878908	3.7459395751042176e-18
2022.8482429459518	3.514327391229011e-18
2127.2121487899017	6.365579597588104e-18
2269.8707573037154	2.3612084478634847e-18
2333.3614478616014	2.3381369007254114e-18
2445.794724561467	2.873572605983798e-18
2669.789022328942	2.0579406028697723e-18
2933.2759035976233	4.883142075864807e-18
3170.890938348247	1.349161581775859e-18
3217.5412843940544	1.0049216347504055e-18
3291.4763724357986	9.199255163854143e-19
3350.7581403213035	9.567759156408693e-19
3438.8973418579885	9.474271854776035e-19
3645.780386118824	4.426448717726408e-18
3681.4512418716017	5.12886563862722e-18
3790.571555204713	4.9799862653372085e-18
3979.6735003700837	3.709337714916232e-18
4124.3177959779905	1.0977709325396323e-18
4232.804909102241	5.256326123708145e-19
4358.267659418161	4.955596628760111e-19
4575.69051503361	1.4594160041627716e-18
4696.050651929481	3.782902603854438e-18
4757.4128100926955	3.7459395751042176e-18
4978.5636665079755	1.8654727634802104e-18
5109.521082110489	2.529211073703036e-18
5329.714024815899	2.6826957952797163e-18
5559.396101872276	3.3956024975914977e-18
6009.744497779628	2.7901592902868166e-18
6187.876750406248	3.2329194401237533e-18
6624.322939231322	1.3759186283299973e-18
6732.697122146973	1.5328549691824103e-18
6932.258102661852	1.297198376875096e-18
7254.507795403054	3.2970358344338466e-18
7616.416683112726	1.658120942890067e-18
7816.760861029391	1.7587437157009464e-18
7970.469850143481	2.2261169395968737e-18
8546.50444724422	1.1031737601092043e-18
8785.559233718566	1.5942581117292406e-18
8958.318699260026	1.5479804033117714e-18
9134.475311430426	1.7587437157009464e-18
9374.750892863121	1.517877326819102e-18
10101.331189921397	2.3612084478634847e-18
10536.644363936504	1.691005380055038e-18
10813.80295975936	3.2013303386516245e-18
10990.717200010848	1.8838803010303462e-18
11390.183273665756	1.7076913620968095e-18
11576.527118443088	1.7415588972333943e-18
11842.541281453561	3.895994515934413e-18
12154.05052473558	2.7091672745497092e-18
12677.824887894942	3.8579264575190755e-18
13011.305645397131	5.658029991659286e-18
13310.28923050182	1.658120942890067e-18
13616.143085708392	1.7076913620968095e-18
13974.305605748861	5.3869542049792454e-18
14576.52319603691	1.811322306929967e-18
14959.947800820966	6.620572143707699e-18
15303.708753669749	1.5030460321372472e-18
15604.641281099419	1.297198376875096e-18
16015.109767688165	3.32956930911895e-18
16489.80675023622	3.531623627041985e-18
17200.428942537324	9.154201527504164e-18
17739.022391756913	6.120408135985907e-18
18029.233493338892	6.751873656778539e-18
18029.233493338892	1.0
